85.25	819602	804388	805033	813794	805655	820965	802535	802746	814460	802400
85.25	820372	803559	805035	813117	803488	818944	804197	804069	814445	803290
85.25	823186	805999	804954	817090	805695	822541	803323	803662	817988	802470
85.25	823034	807115	805337	819338	807153	806392	822204	805902	818210	804672
85.25	818874	803095	804192	814150	804103	817005	803860	804314	814033	805981
85.25	815985	800849	799023	809691	799815	819351	805501	804462	813100	803087
85.25	813225	800732	799750	809466	800228	820049	803795	804850	815183	803700
85.25	814743	801020	801787	811056	801081	815708	802590	803560	811853	804020
85.25	813316	799965	801823	809976	801186	816422	804310	804469	812990	804657
85.25	812993	800312	799616	810264	800714	817304	803178	803632	813791	803875
85.25	816323	802850	802036	811836	803765	816230	804438	802930	813463	804565
85.25	813219	799338	799278	809374	800922	816532	806678	805205	815974	805698
85.25	816147	800453	800506	809220	800793	815120	804463	804991	815894	804451
85.25	813690	801732	800363	810059	799571	816909	803676	803959	811132	802797
85.25	816501	802224	801270	811193	801092	819219	805751	805942	816088	807407
85.25	815163	801504	801581	809616	802290	815069	802604	802117	810183	802779
85.25	811166	798449	799033	812327	799906	818245	804771	804233	815759	805587
85.25	813146	801426	802413	810431	803021	816146	804407	802475	813330	803236
85.25	816667	802583	803212	811752	803327	817126	803332	803928	812818	804194
85.25	816130	801857	802702	812885	802517	814546	803762	804538	810778	803034
85.25	815382	805318	805003	812674	805219	814181	804271	804068	812289	803928
85.25	814739	802250	802754	811508	802323	811970	800394	801302	810820	801781
85.25	815239	805748	805545	814149	804860	814533	805722	804827	812816	804302
85.25	814029	804856	802914	811271	802596	816010	806886	803671	812563	805418
85.25	816735	804531	805205	812455	805260	815812	805760	804605	813362	804046
85.25	822787	804627	805745	817996	804941	822292	803045	804514	814146	802177
85.25	825298	806395	806148	817537	806692	824081	804902	802780	815970	803129
85.25	824594	805088	804581	819018	806534	823548	805177	804950	817163	806068
85.25	818956	800863	801740	814813	800563	824730	803376	804247	815632	803850
85.25	822245	801730	802453	813060	800549	824007	805688	805900	816073	805150
