runs = 50.000000 pulse = 100.000000 pow = 0.000000 Bfield = 2.600000 DPAOM = 96
87400000.000	1.240
87390000.000	1.000
87380000.000	1.000
87370000.000	1.000
87360000.000	1.000
87350000.000	1.000
87340000.000	1.000
87330000.000	1.000
87320000.000	1.000
87310000.000	1.000
87300000.000	1.000
87290000.000	1.000
87280000.000	1.000
87270000.000	1.000
87260000.000	1.000
87250000.000	1.000
87240000.000	1.000
87230000.000	1.000
87220000.000	1.000
87210000.000	1.000
87200000.000	1.000
87190000.000	1.000
87180000.000	1.000
87170000.000	1.000
87160000.000	1.000
87150000.000	1.000
87140000.000	1.000
87130000.000	1.000
87120000.000	1.000
87110000.000	0.980
87100000.000	1.000
87090000.000	1.000
87080000.000	1.000
87070000.000	1.000
87060000.000	1.000
87050000.000	1.000
87040000.000	1.000
87030000.000	1.000
87020000.000	1.000
87010000.000	1.000
87000000.000	1.000
86990000.000	1.000
86980000.000	1.000
86970000.000	1.000
86960000.000	1.000
86950000.000	1.000
86940000.000	1.000
86930000.000	1.000
86920000.000	1.000
86910000.000	1.000
86900000.000	0.960
86890000.000	0.960
86880000.000	0.860
86870000.000	0.780
86860000.000	0.900
86850000.000	0.980
86840000.000	1.000
86830000.000	1.000
86820000.000	0.980
86810000.000	1.000
86800000.000	1.000
86790000.000	1.000
86780000.000	1.000
86770000.000	0.940
86760000.000	0.820
86750000.000	0.760
86740000.000	0.900
86730000.000	0.960
86720000.000	0.980
86710000.000	0.980
86700000.000	1.000
86690000.000	1.000
86680000.000	1.000
86670000.000	1.000
86660000.000	1.000
86650000.000	1.000
86640000.000	1.000
86630000.000	1.000
86620000.000	1.000
86610000.000	1.000
86600000.000	1.000
86590000.000	1.000
86580000.000	1.000
86570000.000	1.000
86560000.000	1.000
86550000.000	1.000
86540000.000	1.000
86530000.000	1.000
86520000.000	1.000
86510000.000	1.000
86500000.000	1.000
86490000.000	1.000
86480000.000	1.000
86470000.000	1.000
86460000.000	1.000
86450000.000	1.000
86440000.000	1.000
86430000.000	1.000
86420000.000	1.000
86410000.000	1.000
86400000.000	1.000
86390000.000	1.000
86380000.000	1.000
86370000.000	1.000
86360000.000	1.000
86350000.000	1.000
86340000.000	1.000
86330000.000	1.000
86320000.000	1.000
86310000.000	1.000
86300000.000	1.000
86290000.000	1.000
86280000.000	1.000
86270000.000	1.000
86260000.000	1.000
86250000.000	1.000
86240000.000	1.000
86230000.000	1.000
86220000.000	1.000
86210000.000	1.000
86200000.000	1.000
86190000.000	1.000
86180000.000	0.980
86170000.000	0.980
86160000.000	1.000
86150000.000	1.000
86140000.000	1.000
86130000.000	1.000
86120000.000	0.980
86110000.000	1.000
86100000.000	1.000
86090000.000	1.000
86080000.000	1.000
86070000.000	1.000
86060000.000	1.000
86050000.000	1.000
86040000.000	1.000
86030000.000	1.000
86020000.000	1.000
86010000.000	0.980
86000000.000	1.000
85990000.000	1.000
85980000.000	1.000
85970000.000	1.000
85960000.000	0.980
85950000.000	1.000
85940000.000	1.000
85930000.000	1.000
85920000.000	1.000
85910000.000	1.000
85900000.000	1.000
85890000.000	1.000
85880000.000	1.000
85870000.000	1.000
85860000.000	1.000
85850000.000	1.000
85840000.000	1.000
85830000.000	0.980
85820000.000	1.000
85810000.000	0.980
85800000.000	0.980
85790000.000	1.000
85780000.000	1.000
85770000.000	0.980
85760000.000	1.000
85750000.000	1.000
85740000.000	0.940
85730000.000	0.980
85720000.000	1.000
85710000.000	0.980
85700000.000	0.880
85690000.000	0.980
85680000.000	0.940
85670000.000	0.960
85660000.000	0.920
85650000.000	0.960
85640000.000	0.940
85630000.000	0.760
85620000.000	0.820
85610000.000	0.640
85600000.000	0.340
85590000.000	0.420
85580000.000	0.460
85570000.000	0.460
85560000.000	0.720
85550000.000	0.740
85540000.000	0.860
85530000.000	0.900
85520000.000	0.860
85510000.000	0.940
85500000.000	0.920
85490000.000	0.960
85480000.000	0.980
85470000.000	0.960
85460000.000	0.960
85450000.000	0.980
85440000.000	0.980
85430000.000	0.980
85420000.000	0.940
85410000.000	1.000
85400000.000	1.000
85390000.000	1.000
85380000.000	1.000
85370000.000	0.960
85360000.000	0.980
85350000.000	1.000
85340000.000	0.980
85330000.000	1.000
85320000.000	1.000
85310000.000	0.980
85300000.000	1.000
85290000.000	1.000
85280000.000	1.000
85270000.000	0.980
85260000.000	1.000
85250000.000	0.980
85240000.000	1.000
85230000.000	1.000
85220000.000	1.000
85210000.000	1.000
85200000.000	1.000
85190000.000	0.980
85180000.000	1.000
85170000.000	1.000
85160000.000	1.000
85150000.000	1.000
85140000.000	1.000
85130000.000	1.000
85120000.000	1.000
85110000.000	1.000
85100000.000	1.000
85090000.000	0.980
85080000.000	1.000
85070000.000	1.000
85060000.000	1.000
85050000.000	1.000
85040000.000	1.000
85030000.000	0.980
85020000.000	1.000
85010000.000	0.980
85000000.000	1.000
84990000.000	1.000
84980000.000	0.980
84970000.000	1.000
84960000.000	0.980
84950000.000	1.000
84940000.000	1.000
84930000.000	1.000
84920000.000	1.000
84910000.000	1.000
84900000.000	1.000
84890000.000	1.000
84880000.000	1.000
84870000.000	1.000
84860000.000	1.000
84850000.000	1.000
84840000.000	1.000
84830000.000	1.000
84820000.000	1.000
84810000.000	1.000
84800000.000	1.000
84790000.000	1.000
84780000.000	1.000
84770000.000	1.000
84760000.000	1.000
84750000.000	1.000
84740000.000	1.000
84730000.000	1.000
84720000.000	1.000
84710000.000	1.000
84700000.000	1.000
84690000.000	1.000
84680000.000	1.000
84670000.000	0.980
84660000.000	1.000
