position,SNLY_21,SNLY_22,SNLY_23,SNLY_24,SNLY_25,SNLY_26,SNLY_27,SNLY_28,SNLY_29,SNLY_30,SNLY_31,SNLY_32,SNLY_33,SNLY_34,SNLY_35,SNLY_36,SNLY_37,SNLY_38,SNLY_39,SNLY_40
-319,0.000000,0.000000,0.000000,0.000000,-0.020171,-0.120131,-0.357319,-0.539089,-0.233694,-0.028113,0.000000,0.000000,0.000000,0.000000,0.021561,0.107587,0.374536,0.536052,0.234351,0.042415
-308,0.000000,0.000000,0.000000,0.000000,-0.008887,-0.107537,-0.311964,-0.551218,-0.270443,-0.046013,0.000000,0.000000,0.000000,0.000000,0.009443,0.088300,0.332069,0.550519,0.267118,0.066438
-296,0.000000,0.000000,0.000000,0.000000,0.000000,-0.094006,-0.266850,-0.554000,-0.315679,-0.064942,0.000000,0.000000,0.000000,0.000000,0.000000,0.072809,0.287906,0.554345,0.309486,0.088536
-285,0.000000,0.000000,0.000000,0.000000,0.000000,-0.081351,-0.230653,-0.544012,-0.363911,-0.081909,0.000000,0.000000,0.000000,0.000000,0.000000,0.062171,0.248540,0.547540,0.357166,0.102256
-273,0.000000,0.000000,0.000000,0.000000,0.000000,-0.067576,-0.198136,-0.522875,-0.417935,-0.099803,0.000000,0.000000,0.000000,0.000000,0.000000,0.055667,0.211843,0.526750,0.412972,0.114818
-262,0.000000,0.000000,0.000000,0.000000,0.000000,-0.056240,-0.173264,-0.494222,-0.465207,-0.120597,0.000000,0.000000,0.000000,0.000000,0.000000,0.051402,0.181349,0.499759,0.463218,0.128706
-250,0.000000,0.000000,0.000000,0.000000,0.000000,-0.045679,-0.149208,-0.454120,-0.511596,-0.151086,0.000000,0.000000,0.000000,0.000000,0.000000,0.047537,0.152897,0.460268,0.512805,0.153191
-238,0.000000,0.000000,0.000000,0.000000,0.000000,-0.037959,-0.127593,-0.407036,-0.549043,-0.192511,0.000000,0.000000,0.000000,0.000000,0.000000,0.042870,0.128495,0.413000,0.552869,0.192226
-227,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032381,-0.109065,-0.358537,-0.576147,-0.238326,0.000000,0.000000,0.000000,0.000000,0.000000,0.037919,0.109596,0.364023,0.580244,0.238815
-215,0.000000,0.000000,0.000000,0.000000,0.000000,-0.028423,-0.088852,-0.299147,-0.598651,-0.294313,0.000000,0.000000,0.000000,0.000000,0.000000,0.031734,0.089400,0.303941,0.604219,0.295225
-204,0.000000,0.000000,0.000000,0.000000,0.000000,-0.024802,-0.069872,-0.240059,-0.614109,-0.348543,0.000000,0.000000,0.000000,0.000000,0.000000,0.025584,0.071580,0.244723,0.619591,0.349600
