85.52	0	0.0	0.0	0.01	0.0	0.0	0	100	100	100	100	100
85.53	0	0.01	0.0	0.01	0.0	0.0	0	100	100	100	100	100
85.54	0	0.0	0.0	0.0	0.01	0.0	0	100	100	100	100	100
85.56	0	0.01	0.0	0.0	0.0	0.01	0	100	100	100	100	100
85.58	0	0.01	0.0	0.01	0.0	0.0	0	100	100	100	100	100
85.59	0	0.13	0.0	0.0	0.0	0.0	0	100	100	100	100	100
85.6	0	0.18	0.0	0.01	0.0	0.0	0	100	100	100	100	100
85.61	0	0.03	0.0	0.0	0.01	0.0	0	100	100	100	100	100
85.62	0	0.01	0.0	0.0	0.0	0.0	0	100	100	100	100	100
85.63	0	0.0	0.0	0.0	0.01	0.01	0	100	100	100	100	100
85.64	0	0.0	0.0	0.0	0.01	0.08	0	100	100	100	100	100
85.68	0	0.02	0.0	0.01	0.0	0.0	0	100	100	100	100	100
85.69	0	0.01	0.0	0.0	0.0	0.0	0	100	100	100	100	100
85.7	0	0.04	0.0	0.01	0.01	0.0	0	100	100	100	100	100
85.71	0	0.0	0.01	0.0	0.04	0.08	0	100	100	100	100	100
85.72	0	0.02	0.0	0.01	0.0	0.0	0	100	100	100	100	100
85.73	0	0.0	0.0	0.0	0.0	0.01	0	100	100	100	100	100
85.74	0	0.0	0.01	0.01	0.01	0.0	0	100	100	100	100	100
85.75	0	0.01	0.03	0.01	0.01	0.0	0	100	100	100	100	100
85.76	0	0.06	0.23	0.29	0.03	0.0	0	100	100	100	100	100
85.77	0	0.08	0.2	0.17	0.08	0.0	0	100	100	100	100	100
85.78	0	0.1	0.14	0.1	0.11	0.0	0	100	100	100	100	100
85.79	0	0.09	0.12	0.1	0.14	0.02	0	100	100	100	100	100
85.8	0	0.14	0.08	0.15	0.22	0.08	0	100	100	100	100	100
85.81	0	0.17	0.07	0.13	0.13	0.11	0	100	100	100	100	100
85.82	0	0.17	0.09	0.18	0.12	0.19	0	100	100	100	100	100
85.83	0	0.15	0.14	0.27	0.25	0.27	0	100	100	100	100	100
85.84	0	0.2	0.2	0.3	0.31	0.35	0	100	100	100	100	100
85.85	0	0.07	0.1	0.14	0.16	0.11	0	100	100	100	100	100
85.86	0	0.04	0.12	0.17	0.08	0.02	0	100	100	100	100	100
85.87	0	0.05	0.3	0.24	0.03	0.02	0	100	100	100	100	100
85.88	0	0.09	0.31	0.27	0.12	0.04	0	100	100	100	100	100
85.89	0	0.07	0.14	0.16	0.1	0.0	0	100	100	100	100	100
85.9	0	0.16	0.07	0.1	0.15	0.02	0	100	100	100	100	100
85.91	0	0.22	0.07	0.21	0.23	0.2	0	100	100	100	100	100
85.92	0	0.16	0.16	0.17	0.18	0.22	0	100	100	100	100	100
85.93	0	0.23	0.28	0.25	0.18	0.27	0	100	100	100	100	100
85.94	0	0.12	0.22	0.2	0.27	0.21	0	100	100	100	100	100
85.95	0	0.06	0.04	0.06	0.09	0.05	0	100	100	100	100	100
85.96	0	0.02	0.11	0.12	0.14	0.13	0	100	100	100	100	100
85.97	0	0.01	0.0	0.0	0.0	0.0	0	100	100	100	100	100
85.99	0	0.01	0.0	0.0	0.0	0.0	0	100	100	100	100	100
86.0	0	0.01	0.01	0.0	0.0	0.0	0	100	100	100	100	100
