85.52	0.0	100
85.53	0.01	100
85.54	0.0	100
85.56	0.01	100
85.58	0.01	100
85.59	0.13	100
85.6	0.18	100
85.61	0.03	100
85.62	0.01	100
85.63	0.0	100
85.64	0.0	100
85.68	0.02	100
85.69	0.01	100
85.7	0.04	100
85.71	0.0	100
85.72	0.02	100
85.73	0.0	100
85.74	0.0	100
85.75	0.01	100
85.76	0.06	100
85.77	0.08	100
85.78	0.1	100
85.79	0.09	100
85.8	0.14	100
85.81	0.17	100
85.82	0.17	100
85.83	0.15	100
85.84	0.2	100
85.85	0.07	100
85.86	0.04	100
85.87	0.05	100
85.88	0.09	100
85.89	0.07	100
85.9	0.16	100
85.91	0.22	100
85.92	0.16	100
85.93	0.23	100
85.94	0.12	100
85.95	0.06	100
85.96	0.02	100
85.97	0.01	100
85.99	0.01	100
86.0	0.01	100

85.52	0.0	100
85.53	0.0	100
85.54	0.0	100
85.56	0.0	100
85.58	0.0	100
85.59	0.0	100
85.6	0.0	100
85.61	0.0	100
85.62	0.0	100
85.63	0.0	100
85.64	0.0	100
85.68	0.0	100
85.69	0.0	100
85.7	0.0	100
85.71	0.01	100
85.72	0.0	100
85.73	0.0	100
85.74	0.01	100
85.75	0.03	100
85.76	0.23	100
85.77	0.2	100
85.78	0.14	100
85.79	0.12	100
85.8	0.08	100
85.81	0.07	100
85.82	0.09	100
85.83	0.14	100
85.84	0.2	100
85.85	0.1	100
85.86	0.12	100
85.87	0.3	100
85.88	0.31	100
85.89	0.14	100
85.9	0.07	100
85.91	0.07	100
85.92	0.16	100
85.93	0.28	100
85.94	0.22	100
85.95	0.04	100
85.96	0.11	100
85.97	0.0	100
85.99	0.0	100
86.0	0.01	100

85.52	0.01	100
85.53	0.01	100
85.54	0.0	100
85.56	0.0	100
85.58	0.01	100
85.59	0.0	100
85.6	0.01	100
85.61	0.0	100
85.62	0.0	100
85.63	0.0	100
85.64	0.0	100
85.68	0.01	100
85.69	0.0	100
85.7	0.01	100
85.71	0.0	100
85.72	0.01	100
85.73	0.0	100
85.74	0.01	100
85.75	0.01	100
85.76	0.29	100
85.77	0.17	100
85.78	0.1	100
85.79	0.1	100
85.8	0.15	100
85.81	0.13	100
85.82	0.18	100
85.83	0.27	100
85.84	0.3	100
85.85	0.14	100
85.86	0.17	100
85.87	0.24	100
85.88	0.27	100
85.89	0.16	100
85.9	0.1	100
85.91	0.21	100
85.92	0.17	100
85.93	0.25	100
85.94	0.2	100
85.95	0.06	100
85.96	0.12	100
85.97	0.0	100
85.99	0.0	100
86.0	0.0	100

85.52	0.0	100
85.53	0.0	100
85.54	0.01	100
85.56	0.0	100
85.58	0.0	100
85.59	0.0	100
85.6	0.0	100
85.61	0.01	100
85.62	0.0	100
85.63	0.01	100
85.64	0.01	100
85.68	0.0	100
85.69	0.0	100
85.7	0.01	100
85.71	0.04	100
85.72	0.0	100
85.73	0.0	100
85.74	0.01	100
85.75	0.01	100
85.76	0.03	100
85.77	0.08	100
85.78	0.11	100
85.79	0.14	100
85.8	0.22	100
85.81	0.13	100
85.82	0.12	100
85.83	0.25	100
85.84	0.31	100
85.85	0.16	100
85.86	0.08	100
85.87	0.03	100
85.88	0.12	100
85.89	0.1	100
85.9	0.15	100
85.91	0.23	100
85.92	0.18	100
85.93	0.18	100
85.94	0.27	100
85.95	0.09	100
85.96	0.14	100
85.97	0.0	100
85.99	0.0	100
86.0	0.0	100

85.52	0.0	100
85.53	0.0	100
85.54	0.0	100
85.56	0.01	100
85.58	0.0	100
85.59	0.0	100
85.6	0.0	100
85.61	0.0	100
85.62	0.0	100
85.63	0.01	100
85.64	0.08	100
85.68	0.0	100
85.69	0.0	100
85.7	0.0	100
85.71	0.08	100
85.72	0.0	100
85.73	0.01	100
85.74	0.0	100
85.75	0.0	100
85.76	0.0	100
85.77	0.0	100
85.78	0.0	100
85.79	0.02	100
85.8	0.08	100
85.81	0.11	100
85.82	0.19	100
85.83	0.27	100
85.84	0.35	100
85.85	0.11	100
85.86	0.02	100
85.87	0.02	100
85.88	0.04	100
85.89	0.0	100
85.9	0.02	100
85.91	0.2	100
85.92	0.22	100
85.93	0.27	100
85.94	0.21	100
85.95	0.05	100
85.96	0.13	100
85.97	0.0	100
85.99	0.0	100
86.0	0.0	100


