85.1	806830	805131	806549	805278	805083	802519	803606	803245	802287	803361
85.1	809211	804342	809993	803913	804689	811917	804940	810614	805742	804628
85.1	807676	802174	806459	801745	803132	810755	804163	807523	803604	802601
85.1	808418	804079	807977	802673	802752	808204	804467	809224	803767	803592
85.1	808949	804857	806948	803189	804895	808911	803632	807818	804145	804522
85.1	809085	802952	809715	803590	805059	809953	803421	807443	801448	803108
85.1	812064	806477	807644	805759	805188	811394	806005	808354	804831	804713
85.1	810373	803838	807817	804179	803418	816646	802584	812389	803650	803288
85.1	817340	805441	814021	804823	804878	818070	804761	815456	805118	805026
85.1	815283	803715	814745	804352	803560	817870	804601	815838	805612	805900
85.1	817456	804741	816247	804976	803779	818296	802496	814752	804206	802985
85.1	814131	803451	812780	804193	803071	816136	804817	813137	802115	804484
85.1	815440	804228	815042	804178	805063	813772	803698	811239	804175	803145
85.1	813224	804920	812736	804886	803930	814027	802153	813909	803968	805416
85.1	816148	805251	812743	805940	805435	816640	803846	814193	804864	804001
85.1	819102	804031	814797	803380	803840	818957	804949	818029	806196	806050
85.1	814763	803926	814048	803869	803352	818891	805386	813000	804861	804156
85.1	816451	802791	813024	801229	803737	814398	803208	812877	803383	802958
85.1	814360	804466	814753	804203	804525	815705	803508	813195	803229	802073
85.1	819072	806004	814970	806043	806179	816361	802512	813840	802504	803170
85.1	816872	803254	811271	802313	803914	817446	805631	813971	805760	805405
85.1	815726	805313	814467	804984	805620	815824	804712	816930	804418	805748
85.1	817668	804738	815138	805055	806228	814968	805059	812919	806122	804465
85.1	815140	802616	812768	802371	803420	814597	804030	814032	804454	804882
85.1	812957	801207	810839	799723	799950	813928	802214	812168	803866	803124
85.1	811888	800468	809334	798942	801065	815659	802174	814254	802957	802709
85.1	811702	800361	812888	800557	801326	813910	802444	813375	802555	802620
85.1	815154	801049	810110	800498	800393	816125	802547	811016	802436	801847
85.1	814558	801474	813711	801804	801264	816291	804473	813109	802666	804177
85.1	817106	801833	810515	801719	801858	816090	803813	814349	804434	803543
85.1	814549	800216	810715	799489	801397	817197	802172	811965	802258	802978
85.1	812576	800440	812034	799152	800247	818068	805765	814992	804853	805648
85.1	812323	800620	811136	800870	800658	814310	802966	813182	803499	804532
85.1	812379	801316	812896	800794	800763	813860	801699	813976	801041	802734
85.1	813386	800439	809229	800584	800758	815989	803760	815026	802736	802821
85.1	813027	800021	810617	801535	800710	815973	806000	817993	806060	804608
85.1	810404	801757	812248	799921	801767	816831	805958	815511	804632	805689
85.1	811389	801491	811796	802386	802053	817118	804777	816075	804308	805973
85.1	812263	800590	812751	800148	800880	815702	803680	813735	802576	802171
85.1	811393	801527	811506	799949	800775	817136	803331	815316	803022	803914
85.1	815956	800517	811276	801360	801345	816942	803979	812228	803946	803296
85.1	816378	804756	811953	804878	803910	815381	804250	815211	803063	804755
85.1	815005	803231	811256	802711	803156	816595	805276	814836	804299	805763
85.1	812901	801772	811278	801757	800915	814379	802090	812568	803461	802340
85.1	816444	804409	815076	804518	803921	818054	804744	814281	803609	804418
85.1	814156	804287	813423	803418	803546	817049	803204	813046	803773	804781
85.1	817626	805110	814971	804349	805139	815548	803530	811445	803663	803021
85.1	815252	804891	811733	802180	801992	816412	804219	813004	803036	802918
85.1	815856	805212	811985	803233	802937	815194	804355	814235	805175	803603
85.1	814951	803575	812919	802661	802674	815544	805422	813347	804300	805033
85.1	814394	803216	811051	802519	802710	816229	802218	813092	803715	804365
85.1	815302	804186	815815	805225	804957	815147	803363	813107	804138	803088
85.1	814995	801991	812392	803821	802614	816537	805943	815758	806153	805804
85.1	815324	804815	814194	804885	805303	816023	802582	812683	804925	803269
85.1	813830	802740	815133	802485	802634	814229	803715	813846	803008	802883
85.1	812839	803310	811503	803971	802988	815396	806511	812902	804675	804711
85.1	814138	803889	814593	803262	802841	815784	805685	814354	805490	805819
85.1	817775	805143	815744	805391	806173	818834	805106	818358	806060	805966
85.1	817377	806516	813276	804914	805491	816377	803038	811555	803035	803979
85.1	815258	803536	813370	805106	804675	815285	804329	813594	804880	804866
85.1	815640	803834	812275	803929	805476	817088	804683	813655	805921	804318
85.1	819993	805598	814991	805133	805282	815868	804000	812836	802741	803526
85.1	814265	804101	813062	804751	803993	816053	801718	812070	802261	803440
85.1	817616	802642	813214	804882	803452	815998	805395	812020	804413	804586
85.1	817914	804475	813371	804244	804368	815483	804183	811762	803985	803734
85.1	818888	803767	816159	805024	804807	815849	803550	814615	804074	804877
85.1	813222	804503	811865	803005	802715	804036	804888	806093	804099	804347
