3	814727	818744	805163	817555	815330	815913	805042	813661	817816	806082	817002	813506	813514	804600
3	814725	818901	807216	816450	815638	815454	807009	811864	819906	805578	816474	813477	813701	806508
3	808868	815119	804181	812525	813707	810173	804406	812765	819838	806653	818471	816287	814151	808247
3	812301	814166	803674	814774	812812	813323	802925	816523	816456	805393	817450	815330	813468	804457
3	814383	813504	804023	815452	814454	812752	802834	811513	815747	804005	814165	814299	811657	802859
3	812012	815735	803649	814691	815217	811617	802045	810845	804532	805495	816505	818559	814088	805675
3	810077	817548	803727	814833	814840	810537	803669	812089	804987	803734	804374	815995	813505	805056
3	810225	814015	802152	815272	815841	812612	800965	811392	802343	802790	815420	811236	810164	802529
3	812595	819367	804046	815848	816088	811071	804488	812620	816160	804012	817662	817389	813193	803856
3	812016	818362	803576	818214	815450	812543	805505	810608	817323	804573	817287	814392	812347	803948
3	814365	815993	805592	818038	814636	812638	803875	812464	818980	804917	818425	815444	813972	804766
3	812015	813699	803043	815218	812615	813852	804653	813017	815713	802985	814425	813114	812768	804524
3	812216	815789	802488	814462	813934	814396	803064	814048	816546	806238	819837	817260	814804	803438
3	813876	815824	804698	818960	815033	815583	804073	810012	803429	804149	818307	803869	813851	803495
3	811466	819306	804909	816795	815755	815093	804359	813349	819631	804951	815263	814471	816004	807013
3	812671	817120	803504	814808	816149	813642	802878	815484	818729	804797	818126	817423	815407	804942
3	813765	817412	806750	817490	819954	813739	805715	812423	816379	803940	815416	813941	811871	805270
3	812991	818636	804240	818338	815541	814150	802942	812753	817990	803763	816832	814815	816027	803711
3	810705	815372	802290	815176	815042	813176	803583	812209	816317	803828	803677	803005	811351	804298
3	813022	818967	804275	818007	814221	814022	803569	812393	817227	803550	815869	815756	812097	802485
3	815094	817463	805085	816957	814082	812069	802553	813454	817793	805573	815994	818069	812303	804186
3	810380	813561	801186	813570	811513	810361	801718	815757	818969	805270	814373	816799	814224	805110
3	812536	814391	802795	815672	813606	811026	802477	813395	816316	803720	819489	817273	814798	803219
3	811154	815141	801047	814396	809541	809101	801622	812936	817750	803724	818912	815435	812295	804482
3	810691	817651	803250	815683	814494	812083	801291	813299	816454	803754	818666	813776	814641	804817
3	809661	814754	799370	813883	811602	809923	799334	812056	818278	804782	816566	813787	813412	803925
3	809807	814319	801363	815725	812512	811468	799744	811649	815655	802018	817829	802577	813028	803731
3	811960	817635	805562	818513	816763	814061	803962	804024	817248	805308	821387	818893	814327	805221
3	813840	817626	802409	815444	813008	813061	801776	811928	815329	803667	816776	814862	814730	804133
3	812366	816659	804719	817376	816861	813231	804575	812878	818639	804103	818895	816435	816961	805099
3	813395	820525	803495	817556	819531	814382	803758	814976	806015	805595	817208	819133	815786	805339
3	811697	812925	800578	813366	811799	810506	799356	809017	815644	801586	814493	814623	812481	801930
3	811503	816712	802923	817156	815876	814797	801788	813959	816902	803373	817907	815883	813050	803444
3	812304	814832	801181	815811	813628	812312	801380	804669	819371	803775	817831	817851	814978	804662
3	813158	817574	804285	817414	817857	816688	804149	813877	819372	805395	820593	817988	815492	805574
3	811992	818701	803699	817105	816586	813633	803423	815484	818301	802839	819902	816350	812463	803514
3	811948	814843	803665	816118	813838	811775	801484	810826	816494	802870	815926	815116	812775	802272
3	814045	817773	805725	819990	816223	813380	804534	815038	818999	804415	820456	818547	814742	804734
3	813552	814571	801605	818382	815697	812494	801297	813400	819361	804974	820063	818201	816712	805927
3	813050	814165	803398	817136	815557	815178	802892	812862	804236	802622	803583	813711	811820	803661
3	809759	815770	801375	817466	816186	813802	801039	816771	819286	803191	818707	803768	804109	803734
3	815243	817439	805281	819074	816651	814940	804413	817835	820533	804868	820286	816580	815052	805484
3	811807	817257	803676	816914	817837	814491	803046	814883	821886	804201	819058	817006	816020	805590
3	814959	817013	803741	817249	812695	813315	801989	812991	817792	804917	817206	820005	814860	804250
3	815518	823104	806390	818955	819548	815377	804759	815489	818970	804888	820021	817560	815173	804906
3	813031	817818	802117	817305	817596	812923	803066	802127	800997	802365	815521	817256	814189	803095
3	816872	818816	806274	822392	819084	817664	805609	813048	818302	805047	820959	818136	804538	805095
3	809264	812522	799419	813183	811492	811644	799015	816210	819513	805288	820317	817777	816551	804449
3	810212	815161	801218	814477	814427	811557	799728	813757	818424	804304	821483	817965	815497	805130
3	812527	816874	804230	821460	817133	812688	804965	810647	813196	799577	800180	809283	810572	800708
