854166	880073	893929	895600	882984	807493	808481
862764	888994	903216	906101	895774	810646	811025
864607	890280	902800	904976	893196	810526	811427
865885	894669	909742	902284	895017	810435	813988
861137	890316	908211	899813	894041	809559	809383
862236	889843	908916	901181	897983	809342	809210
869388	899079	910001	904806	897763	815214	812838
864113	897878	910472	913110	902533	811464	810525
871982	894539	917213	905107	893377	810355	812271
878090	909300	925754	928760	913757	812299	814485
865168	900963	929143	917445	904927	814012	812193
868500	892442	915344	907726	899087	812861	812628
863140	893481	904465	904116	895854	811747	813117
866623	892540	912673	910463	899475	814243	814951
862057	888895	907297	904600	894934	810005	810452
866358	888816	812604	905431	891435	876008	813898
861946	891177	814939	901486	891492	875609	814842
864011	894951	817325	903906	892137	883714	815126
858415	813219	897330	897497	883607	878912	813536
862337	815257	897568	893164	889126	872377	813176
864100	812894	896665	895342	888131	868594	812233
853297	886542	814553	896833	887618	872628	812186
861500	884534	813585	901908	889898	876442	813450
859851	883583	812962	899897	885913	873058	812382
860901	884398	812171	894295	886679	872118	813762
857187	885687	814921	892013	883056	872154	812885
859364	888822	897659	815960	889697	871356	813972
858197	884958	818580	897151	890038	874480	815311
857469	877007	813536	894787	887225	872456	811405
862298	888587	817270	898109	890943	872844	815241
863241	888049	816703	893684	886069	877778	813574
865143	892472	814926	896862	885204	876353	811620
861134	882744	899694	815402	886795	873170	814818
860797	889702	900063	816598	890011	878812	810876
856397	882399	900496	813202	888914	874496	811704
867122	880980	909017	817683	890201	880534	814465
863303	889857	902129	817247	890031	875516	816330
863877	888574	900015	814239	884006	877093	812132
861809	897617	915642	819004	889327	881606	815923
857444	886207	901127	815929	884252	871794	813686
813934	891284	907498	909319	892502	879563	815204
815973	898642	909390	909448	894283	879727	818279
812025	893532	905790	911234	895623	886843	810955
811656	882058	895288	890862	881042	862935	813076
814556	875324	889517	892732	887365	867754	813628
816139	886445	895156	897496	883799	870191	815583
814568	878503	893816	884056	878812	871282	816183
813928	876206	886941	892983	877639	863353	809369
813207	881622	890306	893516	880728	867816	814365
813380	873661	890611	889086	882106	865001	814120
812962	875445	886780	893282	876716	864227	813409
814176	886319	894408	894694	880863	867776	813712
816309	885116	894093	899163	878106	866476	815085
812128	872126	889087	886275	879448	862839	810569
816493	876745	894812	894327	882367	869539	815054
813134	874366	893895	889826	880881	869822	814607
813077	876821	885880	888028	877338	869547	811993
813561	873819	890188	883630	875920	864764	811909
852207	815498	882389	890604	880998	864339	813246
854886	814847	889597	889307	880683	866382	814641
815799	876182	894392	895361	876928	866242	817297
813171	880040	893509	886234	876385	862885	813808
857852	815001	897684	889081	874700	869512	812188
856122	817342	896906	892660	878639	869340	814254
860848	884544	894722	817772	877074	865880	817114
854454	881065	890493	816777	875807	867786	813825
860695	882281	897883	815293	881051	866708	813401
851974	886786	894051	892009	814143	862563	813027
855620	877502	889892	886972	812102	867535	810747
851921	881054	898356	893440	815460	866707	814600
855584	874939	889322	889400	811113	863539	812427
853299	876712	886379	894420	813521	867822	811244
856091	881884	892320	895609	813855	865596	814918
862100	887270	899524	897344	813410	869288	811727
860748	894089	910945	907200	810609	877520	812353
862509	894066	905671	900157	812981	870509	814015
865845	887619	907916	903778	891900	814894	817473
865140	813220	903952	906111	890545	878932	814409
858883	887724	902969	895463	884043	808726	809161
864090	891169	905992	904485	900144	813469	814586
864864	895698	903727	903883	888997	814085	815795
868828	899357	911705	907348	895075	812503	814978
